date,time,model,color,current_price,normal_price,link
2021-01-07,21:46:29,METCON 9,white/volt cyber/summit white/black,100.06€,136.47€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-whitevolt-cybersummit-whiteblack-n1241a189-a16.html
2021-01-08,13:18:11,NFX,ash pugry pugry,nan€,85.07€,https://www.zalando.es/reebok-nfx-zapatillas-de-running-estables-ash-pugry-pugry-re542a154-c11.html
2021-01-08,23:23:37,NANOFLEX 2,acidyellow black vectorred,nan€,100.44€,https://www.zalando.es/reebok-nanoflex-tr-zapatillas-de-entrenamiento-acidyellow-black-vectorred-re542a157-e11.html
2021-01-09,19:37:41,FLEXAGON ENERGY,footwear white/grey1/kinetic blue,nan€,59.14€,https://www.zalando.es/reebok-flexagon-energy-tr-4-zapatillas-de-entrenamiento-footwear-whitegrey1kinetic-blue-re542a13p-a13.html
2021-01-09,08:41:50,METCON 9,black sesame gum lt brown anthracite,101.22€,141.45€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-black-sesame-gum-lt-brown-anthracite-n1242a2nl-q15.html
2021-01-09,18:40:09,NANO,black/midnight plum/coral,109.90€,138.99€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackmidnight-plumcoral-re541a18k-q13.html
2021-01-10,08:09:17,METCON 9,hyper crimson/black/hyper orange,60.79€,75.92€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-hyper-crimsonblackhyper-orange-n1242a2nl-h11.html
2021-01-10,06:40:41,NANOFLEX TR 2,barely grey team teal footwear white,nan€,80.45€,https://www.zalando.es/reebok-nanoflex-zapatillas-de-entrenamiento-barely-grey-team-teal-footwear-white-re541a18l-c11.html
2021-01-10,23:55:54,LEGEND ESSENTIAL 3,ashen slate/sundial/white/football grey,53.29€,66.29€,https://www.zalando.es/nike-performance-legend-essential-3-zapatillas-de-entrenamiento-ashen-slatesundialwhitefootball-grey-n1242a2gx-c17.html
2021-01-13,05:13:00,NANO,midnight/plum/black,118.64€,135.09€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-midnightplumblack-re541a18k-q12.html
2021-01-16,00:00:26,NANO,laspin/black,nan€,124.95€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-laspinblack-re541a18k-j11.html
2021-01-19,21:41:49,METCON 9 FLYEASE,dark grey/pink,109.18€,151.57€,https://www.zalando.es/nike-performance-metcon-9-flyease-zapatillas-de-entrenamiento-dark-greypink-n1241a18b-c11.html
2021-01-21,11:00:09,NANO,black/footwear white,86.48€,115.34€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackfootwear-white-re542a17z-q13.html
2021-01-21,03:52:50,PWRFRAME TR,white/fizzy apple,nan€,81.05€,https://www.zalando.es/puma-pwrframe-tr-zapatillas-de-entrenamiento-whitefizzy-apple-pu141a0pg-a11.html
2021-01-22,08:28:58,METCON 9,black sesame gum lt brown anthracite,111.02€,147.35€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-black-sesame-gum-lt-brown-anthracite-n1242a2nl-q15.html
2021-01-22,06:32:44,NANOFLEX 2,cloud white core black sport green,nan€,73.20€,https://www.zalando.es/reebok-nanoflex-tr-2-zapatillas-de-entrenamiento-cloud-white-core-black-sport-green-re542a157-a11.html
2021-01-23,15:06:46,METCON 9,black/white/anthracite/smoke grey,95.56€,141.73€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-blackwhiteanthracitesmoke-grey-n1241a189-q11.html
2021-01-24,02:20:47,NANOFLEX 2,footwear white black unleashed green,122.35€,134.55€,https://www.zalando.es/reebok-nanoflex-tr-2-zapatillas-de-entrenamiento-footwear-white-black-unleashed-green-re542a157-a12.html
2021-01-24,02:19:57,NANO,black/purgry,116.02€,128.06€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackpurgry-re542a17z-q12.html
2021-01-25,23:19:26,NFX TRAINER,white,nan€,83.70€,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-white-re542a180-a11.html
2021-01-26,13:55:14,DISPERSE XT 3 UNISEX,black/fire orchid/white,nan€,129.89€,https://www.zalando.es/puma-disperse-xt-3-zapatillas-de-entrenamiento-blackfire-orchidwhite-pu142a1kr-q11.html
2021-01-26,18:13:16,NANO,black/footwear white,83.68€,106.11€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackfootwear-white-re542a17z-q13.html
2021-01-29,04:14:54,NANO,pugry2/vinblue/footwear white,nan€,166.77€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-pugry2vinbluefootwear-white-re541a18k-a12.html
2021-01-30,13:20:55,PWRFRAME TR,white/fizzy apple,nan€,73.62€,https://www.zalando.es/puma-pwrframe-tr-zapatillas-de-entrenamiento-whitefizzy-apple-pu141a0pg-a11.html
2021-01-31,03:28:20,METCON 9,light iron ore/flat pewter/black,111.64€,131.90€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-iron-oreflat-pewterblack-n1242a2nl-q12.html
2021-01-31,21:56:57,DISPERSE XT 3 UNISEX,black/fire orchid/white,nan€,142.16€,https://www.zalando.es/puma-disperse-xt-3-zapatillas-de-entrenamiento-blackfire-orchidwhite-pu142a1kr-q11.html
2021-02-01,02:16:41,NANO COURT,footwear white/weathered white/unlshd green,nan€,130.36€,https://www.zalando.es/reebok-nano-court-zapatillas-de-entrenamiento-footwear-whiteweathered-whiteunlshd-green-re541a198-a12.html
2021-02-01,20:07:11,METCON 9,light army/black/cargo khaki/sequoia,114.95€,130.44€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-armyblackcargo-khakisequoia-n1242a2nl-m11.html
2021-02-01,03:57:25,NANO,laspin/black,nan€,113.45€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-laspinblack-re541a18k-j11.html
2021-02-02,13:25:04,FUSE 3.0,black/redmazing,nan€,136.91€,https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-blackredmazing-pu142a1r6-q12.html
2021-02-03,13:42:20,TRIBASE REIGN 6,white/distant gray/black,nan€,153.19€,https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-whitedistant-grayblack-un242a0lb-a11.html
2021-02-03,12:08:01,FLEX EXPERIENCE RN 12 PRM,summit white/metallic silver/black/white,nan€,70.10€,https://www.zalando.es/nike-performance-flex-experience-rn-12-prm-zapatillas-de-entrenamiento-summit-whitemetallic-silverblackwhite-n1241a1b6-a11.html
2021-02-03,04:48:34,METCON 9,light silver/metallic silver/summit white/jade horizon,105.78€,128.91€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-silvermetallic-silversummit-whitejade-horizon-n1241a189-d11.html
2021-02-05,13:31:54,REIGN LIFTER UNISEX,white/racer red/black,105.89€,145.20€,https://www.zalando.es/under-armour-reign-lifter-unisex-zapatillas-de-entrenamiento-whiteracer-redblack-un244a02f-a11.html
2021-02-05,22:47:06,NANO,footwear white/pugry2,nan€,106.02€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whitepugry2-re541a18k-a11.html
2021-02-06,00:15:39,NANO,footwear white/unleashed green/grey,81.43€,109.94€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whiteunleashed-greengrey-re542a17z-c11.html
2021-02-06,03:03:46,TRIBASE REIGN 6,white/horizon blue/morph green,nan€,131.13€,https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-whitehorizon-bluemorph-green-un241a0cw-a11.html
2021-02-11,08:20:04,DISPERSE XT 3 UNISEX,black/fire orchid/white,nan€,147.47€,https://www.zalando.es/puma-disperse-xt-3-zapatillas-de-entrenamiento-blackfire-orchidwhite-pu142a1kr-q11.html
2021-02-11,15:06:36,METCON 9,black/white/anthracite/smoke grey,63.36€,74.09€,https://www.zalando.es/nike-performance-metcon-9-unisex-zapatillas-de-entrenamiento-blackwhiteanthracitesmoke-grey-n1244a0hv-q11.html
2021-02-12,02:17:27,TRIBASE REIGN 6,midnight navy/morph green/white,nan€,134.38€,https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-midnight-navymorph-greenwhite-un242a0lb-k12.html
2021-02-15,13:15:14,METCON 9,black/white/anthracite/smoke grey,110.79€,152.58€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-blackwhiteanthracitesmoke-grey-n1241a189-q11.html
2021-02-16,15:26:26,METCON 9,black/white/anthracite/smoke grey,107.66€,131.78€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-blackwhiteanthracitesmoke-grey-n1241a189-q11.html
2021-02-17,16:44:08,FUSE 3.0,black/cool dark gray/olive green/putty,61.94€,80.57€,https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-blackcool-dark-grayolive-greenputty-pu142a1r6-q11.html
2021-02-17,20:12:30,NANOFLEX 2,footwear white black unleashed green,124.53€,133.98€,https://www.zalando.es/reebok-nanoflex-tr-2-zapatillas-de-entrenamiento-footwear-white-black-unleashed-green-re542a157-a12.html
2021-02-17,22:13:36,NFX TRAINER,white black green,59.91€,65.75€,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-footwear-white-black-unleashed-green-re541a18g-a14.html
2021-02-21,17:14:06,NANO,footwear white/black,nan€,128.71€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whiteblack-re541a18k-a14.html
2021-02-22,10:51:58,NANO,pugry2/vinblue/footwear white,nan€,165.73€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-pugry2vinbluefootwear-white-re541a18k-a12.html
2021-02-22,02:57:43,TRIBASE REIGN 6,black / anthracite / metallic silver,80.05€,127.08€,https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-black-anthracite-metallic-silver-un241a0cw-q11.html
2021-02-22,04:54:31,FUSE 3.0,black/redmazing,nan€,127.73€,https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-blackredmazing-pu142a1r6-q12.html
2021-02-23,04:17:07,NANO COURT,white digital lime aqua,54.85€,64.45€,https://www.zalando.es/reebok-low-non-football-nano-court-zapatillas-de-entrenamiento-white-digital-lime-aqua-re544a07p-a11.html
2021-02-23,02:05:49,METCON 9,armory navy/platinum violet/plum dust/aegean storm,130.00€,127.56€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-armory-navyplatinum-violetplum-dustaegean-storm-n1241a189-k12.html
2021-02-24,07:02:41,FUSE 3.0,midnight plum/vapor gray/sunset glow,127.95€,148.09€,https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-midnight-plumvapor-graysunset-glow-pu141a0zt-i11.html
2021-02-26,16:53:43,NANO,hyper green black vector red,nan€,76.34€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-hyper-green-black-vector-red-re542a17z-m12.html
2021-02-26,10:49:41,FLEXAGON FORCE 4,black,nan€,59.34€,https://www.zalando.es/reebok-flexagon-force-4-zapatillas-de-entrenamiento-black-re542a153-q11.html
2021-03-03,11:32:27,METCON 9,light iron ore/flat pewter/black,105.65€,127.91€,https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-light-iron-oreflat-pewterblack-n1242a2nl-q12.html
2021-03-03,17:03:10,TRIBASE REIGN 6,midnight navy/morph green/white,nan€,135.10€,https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-midnight-navymorph-greenwhite-un242a0lb-k12.html
2021-03-04,12:20:48,NFX,black/cold grey,nan€,nan€,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-blackcold-grey-re542a154-q11.html
2021-03-05,16:33:50,AIR ZOOM TR 1,court blue/green strike/black/platinum tint,nan€,63.01€,https://www.zalando.es/nike-performance-air-zoom-1-zapatillas-de-entrenamiento-court-bluegreen-strikeblackplatinum-tint-n1242a2n3-k11.html
2021-03-07,19:14:57,CXT2,black,74.72€,82.38€,https://www.zalando.es/tyr-cxt2-zapatillas-de-entrenamiento-black-ty641a003-q13.html
2021-03-08,02:07:18,NANO,pugry2/vinblue/footwear white,nan€,165.42€,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-pugry2vinbluefootwear-white-re541a18k-a12.html
2021-03-11,01:17:41,NFX,ash pugry pugry,nan€,77.58€,https://www.zalando.es/reebok-nfx-zapatillas-de-running-estables-ash-pugry-pugry-re542a154-c11.html
